id,value
id_0,26.369457863709975
id_1,64.82114203253475
id_2,21.318972724080517
id_3,29.111288365213596
id_4,13.122795085832403
id_5,32.01812213724576
id_6,40.057944625965064
id_7,18.31203446490218
id_8,53.42696465843676
id_9,36.079369390743395
id_10,39.92350535199939
id_11,56.506041347633165
id_12,35.18340131219825
id_13,41.95152683054109
id_14,26.697667308392166
id_15,13.538050147015323
id_16,52.89672412667686
id_17,24.35020665381792
id_18,20.79789144879455
id_19,21.177155831238633
id_20,14.772939206242295
id_21,33.722063549462774
id_22,36.00670692150518
id_23,10.548544517761998
id_24,65.92365453838343
id_25,44.32439047695452
id_26,30.652348121376086
id_27,7.5308144968438215
id_28,31.11760418346601
id_29,36.19998337081933
id_30,18.069049794041693
id_31,12.618940212070608
id_32,16.968390568398817
id_33,10.460764311091479
id_34,14.869569425330639
id_35,46.961863036373884
id_36,23.04429637973043
id_37,28.235784055071427
id_38,13.355455303689183
id_39,58.346530981986255
id_40,48.68073525550628
id_41,16.36096469738399
id_42,52.2926491988534
id_43,17.614594181609714
id_44,44.68317448519016
id_45,49.55599194430366
id_46,57.1293255029861
id_47,42.699814684952095
id_48,56.070396659468756
id_49,40.318008085156094
id_50,29.365234460849543
id_51,25.194916023200317
id_52,39.30109605540694
id_53,24.77305112722237
id_54,37.65999668034963
id_55,39.74859026363289
id_56,24.34742953612091
id_57,22.366502591697696
id_58,35.34685253531637
id_59,33.56465898830376
id_60,14.417020719724379
id_61,24.227412368071793
id_62,35.03044706555739
id_63,53.52967841215612
id_64,53.30170278303261
id_65,26.43302491249481
id_66,37.799303841429406
id_67,51.72784633058727
id_68,28.07190392448026
id_69,38.727624291090784
id_70,65.82217469808731
id_71,55.71974068967849
id_72,42.37098931641456
id_73,13.651140865066457
id_74,13.509854527029184
id_75,33.24498407320307
id_76,61.4742399144906
id_77,3.2107399333363214
id_78,41.91010260496524
id_79,42.981682384291766
id_80,9.350436463661792
id_81,22.28807777998513
id_82,5.429004976524304
id_83,30.577871106457348
id_84,8.564233671916666
id_85,5.804820034423814
id_86,19.30474350322239
id_87,14.294992776574427
id_88,15.449282685682155
id_89,25.19235445933521
id_90,33.45491043847787
id_91,11.987753772740518
id_92,13.126326234284418
id_93,8.503943995826257
id_94,34.3962250790208
id_95,12.823547795256825
id_96,16.156846217752445
id_97,9.936163288403206
id_98,12.654095885753247
id_99,5.123482017180719
id_100,9.998953485444286
id_101,18.11672858564969
id_102,11.092521939609032
id_103,8.82481729773998
id_104,11.841504071994633
id_105,36.698655881331966
id_106,26.238045246621336
id_107,8.46901351564969
id_108,16.570978243474183
id_109,14.844102340497038
id_110,9.804036817387836
id_111,17.676343008199566
id_112,16.138252217500142
id_113,27.413798133007667
id_114,18.146666749760122
id_115,16.774553655810692
id_116,5.293711741460806
id_117,49.63128750789447
id_118,27.813806055795766
id_119,0.14716037754808642
id_120,-1.0742937369157612
id_121,11.360302700518973
id_122,13.54066573910069
id_123,13.510283676295376
id_124,8.967290751863002
id_125,23.44052171132642
id_126,20.538097207444928
id_127,10.117876615813293
id_128,18.58115263168156
id_129,15.821408187447046
id_130,1.2304372158944257
id_131,32.7396522411386
id_132,13.336818101276494
id_133,19.69014166061652
id_134,25.879907436758955
id_135,21.239969318704752
id_136,9.42132630442696
id_137,19.909572801129357
id_138,77.78738294865087
id_139,60.037212330574214
id_140,26.991579624576445
id_141,20.165485574168912
id_142,24.046982204252302
id_143,7.903817429651184
id_144,8.863712138511268
id_145,11.381656710311047
id_146,17.66321090992504
id_147,6.598628366799657
id_148,14.126301946700954
id_149,18.35211348622564
id_150,49.839952105396144
id_151,22.881349799049957
id_152,21.14926375520346
id_153,14.825192838896214
id_154,15.188542322454515
id_155,25.495188694401453
id_156,27.195694507443807
id_157,35.35800051224311
id_158,5.556053714439464
id_159,23.561533280468222
id_160,40.75228268508027
id_161,18.340396642073124
id_162,62.015691197324415
id_163,17.618483388462128
id_164,33.070014761011514
id_165,24.260743026212392
id_166,31.741244683553155
id_167,-1.4405458778468225
id_168,65.4860415398535
id_169,13.01657879370224
id_170,15.864389723604672
id_171,71.44765496639835
id_172,18.341285273143413
id_173,1.5232131371653796
id_174,20.174416079218506
id_175,-1.3148492084293717
id_176,7.220392703722556
id_177,20.080771618410974
id_178,19.169695113640287
id_179,23.358494541296118
id_180,42.28582602160012
id_181,31.6471977266669
id_182,26.988272948409328
id_183,12.960119691802074
id_184,7.0966480211904575
id_185,40.462803789627095
id_186,33.77248641569916
id_187,36.52060796446674
id_188,16.2031330482894
id_189,23.948166552755062
id_190,14.137410528734124
id_191,16.203460266880583
id_192,30.825365155834998
id_193,76.76412097941824
id_194,29.956373007513207
id_195,12.977594365888502
id_196,62.649472388266126
id_197,17.253468407975724
id_198,20.04199990413942
id_199,17.97365354709221
id_200,127.64917836615238
id_201,24.332560859337303
id_202,57.65998481136864
id_203,5.30726414612313
id_204,59.6553942211194
id_205,36.31623034441538
id_206,16.17488312569846
id_207,11.37867449485701
id_208,64.38931286854942
id_209,15.11825059342691
id_210,32.35964993787783
id_211,67.93811477529063
id_212,18.56258771870903
